Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Price
2019,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,4,6,9.74,27630,10.3,5,32495
2019,Acura,Other Model Type,Sedan,AWD,Red,Black,Gas,Automatic,4,6,10.29,82000,9.7,5,32950
2019,Acura,Other Model Type,Sedan,AWD,Black,Other Colour,Gas,Automatic,4,6,9.74,29012,10.3,5,33295
2019,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,4,6,9.74,23216,10.3,5,33295
2020,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,4,4,10.31,39100,9.7,4,44988
2017,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.98,65522,9.1,7,33390
2017,Acura,Other Model Type,SUV,AWD,Grey,Grey,Gas,Automatic,4,6,10.98,97000,9.1,7,33777
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.76,116802,9.3,5,33795
2019,Acura,Other Model Type,Sedan,AWD,Black,Black,Gas,Automatic,4,6,9.74,38069,10.3,5,33888
2017,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,,6,10.98,91412,9.1,7,33994
2019,Acura,Other Model Type,SUV,AWD,Black,Red,Gas,Automatic,4,4,10.31,114612,9.7,5,34390
2018,Acura,Other Model Type,SUV,AWD,Brown,Black,Gas,Automatic,4,,10.98,118800,9.1,6,34488
2018,Acura,Other Model Type,SUV,AWD,Brown,Black,Gas,Automatic,4,6,10.98,82000,9.1,6,34777
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,,6,10.87,141120,9.2,5,34880
2018,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,10.98,98000,9.1,6,34950
2018,Acura,Other Model Type,Sedan,AWD,Grey,Black,Gas,Automatic,,6,8.31,115527,12.0,6,34998
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,10.76,102000,9.3,5,35480
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,9.92,102000,10.1,5,35850
2019,Acura,Other Model Type,SUV,AWD,Cream,White,Gas,Automatic,4,,9.92,79032,10.1,5,35990
2021,Acura,Other Model Type,Sedan,FWD,Red,White,Gas,Automatic,,,8.5,9209,11.8,3,35995
2019,Acura,Other Model Type,SUV,AWD,Black,Red,Gas,Automatic,4,6,10.87,78702,9.2,5,35995
2018,Acura,Other Model Type,SUV,AWD,Other Colour,Black,Gas,Automatic,4,,10.98,94862,9.1,6,34743
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,4,9.92,75420,10.1,5,36995
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,9.92,65795,10.1,4,37495
2019,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,10.87,76885,9.2,5,37495
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Other,,4,9.92,68263,10.1,5,37498
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,,6,10.87,79344,9.2,5,37888
2019,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,,,10.31,75786,9.7,5,38388
2019,Acura,Other Model Type,SUV,AWD,Black,Blue,Gas,Automatic,,,10.31,61006,9.7,5,39088
2020,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,4,9.92,48759,10.1,4,39295
2020,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,,,10.31,88483,9.7,4,39588
2018,Acura,Other Model Type,Sedan,FWD,Other Colour,White,Gas,Automatic,4,4,8.23,33810,12.2,6,26988
2020,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,4,10.31,99000,9.7,4,39850
2020,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Other,,4,10.31,83981,9.7,4,39890
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.76,78000,9.3,5,39995
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,10.76,67208,9.3,5,40495
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,4,4,10.31,96233,9.7,4,40888
2020,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,4,6,10.98,53960,9.1,4,40990
2020,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Other,,4,9.92,59380,10.1,4,42994
2021,Acura,Other Model Type,Sedan,AWD,Cream,Black,Gas,Automatic,4,,9.76,38897,10.2,3,41394
2020,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,4,10.31,35473,9.7,4,41990
2020,Acura,Other Model Type,SUV,AWD,Red,White,Gas,Automatic,,,10.31,56139,9.7,4,42588
2020,Acura,Other Model Type,SUV,AWD,Brown,White,Gas,Automatic,,,9.92,48368,10.1,4,42588
2020,Acura,Other Model Type,SUV,AWD,Other Colour,Black,Gas,Automatic,4,4,10.31,44502,9.7,4,42599
2019,Acura,Other Model Type,SUV,AWD,Red,White,Gas,Automatic,4,6,10.87,65060,9.2,5,42888
2020,Acura,Other Model Type,Sedan,AWD,Red,White,Gas,Automatic,4,6,10.01,12980,10.0,4,42888
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,9.92,42017,10.1,4,42990
2021,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,4,4,10.31,58742,9.7,3,43495
2020,Acura,Other Model Type,SUV,AWD,Other Colour,Other Colour,Gas,Automatic,4,,10.98,80754,9.1,4,43770
2020,Acura,Other Model Type,SUV,AWD,Other Colour,White,Premium Unleaded,Automatic,,,10.98,57590,9.1,4,43997
2021,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,4,10.31,44337,9.7,3,44295
2021,Acura,Other Model Type,Sedan,AWD,Brown,White,Gas,Automatic,4,4,9.76,21448,10.2,3,44995
2021,Acura,Other Model Type,SUV,AWD,Other Colour,Other Colour,Gas,Automatic,4,4,10.31,32479,9.7,3,45295
2020,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,,,10.31,25873,9.7,4,45995
2021,Acura,Other Model Type,Sedan,AWD,Black,White,Premium Unleaded,Automatic,4,4,9.76,29704,10.2,3,47099
