Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Price
2020.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,10.31,99000.0,9.7,4.0,39850.0
2020.0,0.0,10.0,8.0,3.0,7.0,3.0,2.0,2.0,4.0,4.0,10.31,83981.0,9.7,4.0,39890.0
2019.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.76,78000.0,9.3,5.0,39995.0
2019.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.76,67208.0,9.3,5.0,40495.0
2020.0,0.0,10.0,8.0,3.0,1.0,0.0,8.0,0.0,4.0,4.0,10.31,96233.0,9.7,4.0,40888.0
2020.0,0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,6.0,10.98,53960.0,9.1,4.0,40990.0
2020.0,0.0,10.0,8.0,3.0,6.0,5.0,2.0,2.0,3.0,4.0,9.92,59380.0,10.1,4.0,42994.0
2021.0,0.0,10.0,7.0,3.0,4.0,0.0,2.0,0.0,4.0,5.0,9.76,38897.0,10.2,3.0,41394.0
2020.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,4.0,10.31,35473.0,9.7,4.0,41990.0
2020.0,0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,3.0,4.0,10.31,56139.0,9.7,4.0,42588.0
2020.0,0.0,10.0,8.0,3.0,2.0,5.0,2.0,0.0,3.0,5.0,9.92,48368.0,10.1,4.0,42588.0
2020.0,0.0,10.0,8.0,3.0,6.0,0.0,2.0,0.0,4.0,4.0,10.31,44502.0,9.7,4.0,42599.0
2019.0,0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,10.87,65060.0,9.2,5.0,42888.0
2020.0,0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,10.01,12980.0,10.0,4.0,42888.0
2020.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,42017.0,10.1,4.0,42990.0
2021.0,0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,10.31,58742.0,9.7,3.0,43495.0
2020.0,0.0,10.0,8.0,3.0,6.0,3.0,2.0,0.0,4.0,5.0,10.98,80754.0,9.1,4.0,43770.0
2020.0,0.0,10.0,8.0,3.0,6.0,5.0,8.0,0.0,3.0,5.0,10.98,57590.0,9.1,4.0,43997.0
2021.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,4.0,10.31,44337.0,9.7,3.0,44295.0
2021.0,0.0,10.0,7.0,3.0,2.0,5.0,2.0,0.0,4.0,4.0,9.76,21448.0,10.2,3.0,44995.0
2021.0,0.0,10.0,8.0,3.0,6.0,3.0,2.0,0.0,4.0,4.0,10.31,32479.0,9.7,3.0,45295.0
2020.0,0.0,10.0,8.0,3.0,7.0,3.0,2.0,0.0,4.0,5.0,10.31,25873.0,9.7,4.0,45995.0
2021.0,0.0,10.0,7.0,3.0,1.0,5.0,8.0,0.0,4.0,4.0,9.76,29704.0,10.2,3.0,47099.0
2021.0,0.0,10.0,8.0,3.0,7.0,0.0,2.0,0.0,4.0,4.0,10.31,33413.0,9.7,3.0,47588.0
2022.0,0.0,10.0,7.0,3.0,7.0,3.0,2.0,0.0,4.0,4.0,9.86,12209.0,10.1,2.0,50188.0
2022.0,0.0,10.0,8.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,10.31,29776.0,9.7,2.0,52795.0
2021.0,0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,11.18,29841.0,8.9,3.0,55995.0
2022.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,2.0,4.0,6.0,11.16,32865.0,9.0,2.0,62599.0
2013.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,8.18,267187.0,12.2,11.0,10795.0
2014.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,5.0,9.17,209511.0,10.9,10.0,13588.0
2011.0,0.0,10.0,8.0,3.0,4.0,5.0,2.0,0.0,4.0,6.0,11.58,161202.0,8.6,13.0,13985.0
2013.0,0.0,10.0,8.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,11.58,223000.0,8.6,11.0,13999.0
2014.0,0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,6.0,8.78,136541.0,11.4,10.0,16900.0
2014.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,5.0,4.0,9.17,158868.0,10.9,10.0,17998.0
2015.0,0.0,10.0,8.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.57,172000.0,9.5,9.0,17999.0
2019.0,0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,8.6,41116.0,11.6,5.0,29995.0
2020.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,10.29,31756.0,9.7,4.0,39836.0
2019.0,0.0,10.0,8.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,9.92,110024.0,10.1,5.0,34995.0
2015.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,9.54,137835.0,10.5,9.0,19450.0
2016.0,0.0,10.0,7.0,4.0,1.0,5.0,2.0,0.0,4.0,4.0,8.1,76836.0,12.3,8.0,19890.0
