Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,4,9.92,75420,10.1,5,36995,3248.21
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,9.92,65795,10.1,4,37495,3957.52
2019,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,6,10.87,76885,9.2,5,37495,3236.61
2020,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,4,9.92,48759,10.1,4,39295,5349.99
2018,Acura,Other Model Type,Sedan,FWD,Other Colour,White,Gas,Automatic,4,4,8.23,33810,12.2,6,26988,4312.17
2020,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,4,10.31,99000,9.7,4,39850,2924.77
2019,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,10.76,78000,9.3,5,39995,3408.66
2019,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,10.76,67208,9.3,5,40495,3933.69
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Premium Unleaded,Automatic,4,4,10.31,96233,9.7,4,40888,3079.12
2020,Acura,Other Model Type,SUV,AWD,Red,Other Colour,Gas,Automatic,4,6,10.98,53960,9.1,4,40990,5126.95
2021,Acura,Other Model Type,Sedan,AWD,Cream,Black,Gas,Automatic,4,,9.76,38897,10.2,3,41394,7195.72
2020,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,4,10.31,35473,9.7,4,41990,7387.24
2020,Acura,Other Model Type,SUV,AWD,Other Colour,Black,Gas,Automatic,4,4,10.31,44502,9.7,4,42599,6252.83
2019,Acura,Other Model Type,SUV,AWD,Red,White,Gas,Automatic,4,6,10.87,65060,9.2,5,42888,4285.37
2020,Acura,Other Model Type,Sedan,AWD,Red,White,Gas,Automatic,4,6,10.01,12980,10.0,4,42888,14930.55
2020,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,4,9.92,42017,10.1,4,42990,6611.68
2021,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,4,4,10.31,58742,9.7,3,43495,5378.19
2020,Acura,Other Model Type,SUV,AWD,Other Colour,Other Colour,Gas,Automatic,4,,10.98,80754,9.1,4,43770,3858.34
2021,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,4,10.31,44337,9.7,3,44295,6929.12
2021,Acura,Other Model Type,Sedan,AWD,Brown,White,Gas,Automatic,4,4,9.76,21448,10.2,3,44995,12161.58
2021,Acura,Other Model Type,SUV,AWD,Other Colour,Other Colour,Gas,Automatic,4,4,10.31,32479,9.7,3,45295,9063.48
2021,Acura,Other Model Type,Sedan,AWD,Black,White,Premium Unleaded,Automatic,4,4,9.76,29704,10.2,3,47099,10083.15
2022,Acura,Other Model Type,SUV,AWD,Other Colour,White,Gas,Automatic,4,4,10.31,29776,9.7,2,52795,11945.77
2021,Acura,Other Model Type,Sedan,AWD,Red,White,Gas,Automatic,4,6,11.18,29841,8.9,3,55995,11946.42
2013,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,8.18,267187,12.2,11,10795,175.25
2011,Acura,Other Model Type,SUV,AWD,Cream,White,Gas,Automatic,4,6,11.58,161202,8.6,13,13985,285.9
2013,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,6,11.58,223000,8.6,11,13999,270.37
2014,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,6,8.78,136541,11.4,10,16900,576.63
2014,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,5,,9.17,158868,10.9,10,17998,532.9
2015,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,10.57,172000,9.5,9,17999,543.93
2019,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,,8.6,41116,11.6,5,29995,4401.02
2020,Acura,Other Model Type,Sedan,AWD,Black,White,Gas,Automatic,4,,10.29,31756,9.7,4,39836,7632.15
2019,Acura,Other Model Type,SUV,AWD,Black,Other Colour,Gas,Automatic,4,,9.92,110024,10.1,5,34995,2186.75
2016,Acura,Other Model Type,Sedan,FWD,Black,White,Gas,Automatic,4,4,8.1,76836,12.3,8,19890,1374.31
2016,Acura,Other Model Type,Sedan,FWD,Other Colour,Grey,Gas,Automatic,4,4,8.25,117699,12.1,8,21995,1033.45
2018,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,4,8.23,104000,12.2,6,22950,1409.21
2016,Acura,Other Model Type,SUV,AWD,Black,White,Gas,Automatic,4,6,11.08,193000,9.0,8,23995,709.21
2016,Acura,Other Model Type,SUV,AWD,Beige,Black,Gas,Automatic,4,6,11.08,145000,9.0,8,23999,928.99
2019,Acura,Other Model Type,Sedan,AWD,Black,Blue,Gas,Automatic,4,6,10.29,73340,9.7,5,26471,2382.2
2018,Acura,Other Model Type,Sedan,FWD,Black,Black,Gas,Automatic,4,4,8.23,37089,12.2,6,26595,3953.47
2017,Acura,Other Model Type,SUV,AWD,Black,Black,Gas,Automatic,4,,10.98,163527,9.1,7,29780,1115.5
