Year,Brand,Model,Body Type,Drivetrain,Interior Colour,Exterior Colour,Fuel Type,Transmission Type,Doors,Cylinder Count,Fuel Efficiency (Lt/100kms),Distance (km),Mileage (kms/Lt),Years Used,Purchase Price,Current Market Price
2018.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.98,98000.0,9.1,6.0,34950.0,2265.28
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,10.76,102000.0,9.3,5.0,35480.0,2375.89
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,102000.0,10.1,5.0,35850.0,2400.67
2019.0,0.0,10.0,7.0,3.0,4.0,5.0,2.0,0.0,4.0,5.0,9.92,79032.0,10.1,5.0,35990.0,3031.78
2019.0,0.0,10.0,7.0,3.0,1.0,4.0,2.0,0.0,4.0,6.0,10.87,78702.0,9.2,5.0,35995.0,3043.48
2018.0,0.0,10.0,7.0,3.0,6.0,0.0,2.0,0.0,4.0,5.0,10.98,94862.0,9.1,6.0,34743.0,2319.25
2019.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,9.92,75420.0,10.1,5.0,36995.0,3248.21
2020.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,65795.0,10.1,4.0,37495.0,3957.52
2019.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,6.0,10.87,76885.0,9.2,5.0,37495.0,3236.61
2020.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,9.92,48759.0,10.1,4.0,39295.0,5349.99
2018.0,0.0,10.0,8.0,4.0,6.0,5.0,2.0,0.0,4.0,4.0,8.23,33810.0,12.2,6.0,26988.0,4312.17
2020.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,4.0,10.31,99000.0,9.7,4.0,39850.0,2924.77
2019.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,6.0,10.76,78000.0,9.3,5.0,39995.0,3408.66
2019.0,0.0,10.0,7.0,3.0,1.0,5.0,2.0,0.0,4.0,6.0,10.76,67208.0,9.3,5.0,40495.0,3933.69
2020.0,0.0,10.0,7.0,3.0,1.0,0.0,6.0,0.0,4.0,4.0,10.31,96233.0,9.7,4.0,40888.0,3079.12
2020.0,0.0,10.0,7.0,3.0,7.0,3.0,2.0,0.0,4.0,6.0,10.98,53960.0,9.1,4.0,40990.0,5126.95
2021.0,0.0,10.0,8.0,3.0,4.0,0.0,2.0,0.0,4.0,5.0,9.76,38897.0,10.2,3.0,41394.0,7195.72
2020.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,4.0,10.31,35473.0,9.7,4.0,41990.0,7387.24
2020.0,0.0,10.0,7.0,3.0,6.0,0.0,2.0,0.0,4.0,4.0,10.31,44502.0,9.7,4.0,42599.0,6252.83
2019.0,0.0,10.0,7.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,10.87,65060.0,9.2,5.0,42888.0,4285.37
2020.0,0.0,10.0,8.0,3.0,7.0,5.0,2.0,0.0,4.0,6.0,10.01,12980.0,10.0,4.0,42888.0,14930.55
2020.0,0.0,10.0,7.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,9.92,42017.0,10.1,4.0,42990.0,6611.68
2021.0,0.0,10.0,7.0,3.0,6.0,5.0,2.0,0.0,4.0,4.0,10.31,58742.0,9.7,3.0,43495.0,5378.19
2020.0,0.0,10.0,7.0,3.0,6.0,3.0,2.0,0.0,4.0,5.0,10.98,80754.0,9.1,4.0,43770.0,3858.34
2021.0,0.0,10.0,7.0,3.0,1.0,3.0,2.0,0.0,4.0,4.0,10.31,44337.0,9.7,3.0,44295.0,6929.12
2021.0,0.0,10.0,8.0,3.0,2.0,5.0,2.0,0.0,4.0,4.0,9.76,21448.0,10.2,3.0,44995.0,12161.58
2021.0,0.0,10.0,7.0,3.0,6.0,3.0,2.0,0.0,4.0,4.0,10.31,32479.0,9.7,3.0,45295.0,9063.48
